age,age2,ed,exper,exper2,nearc2,nearc4,nearc4a,nearc4b,race,smsa,south,wage
29,841,7,16,256,0,0,0,0.00121960673,1,1,0,6.306275
27,729,12,9,81,0,0,0,-0.00249633973,0,1,0,6.175867
34,1156,12,16,256,0,0,0,-0.000917132508,0,1,0,6.580639
27,729,11,10,100,1,1,1,-0.0014832074,0,1,0,5.521461
34,1156,12,16,256,1,1,1,0.000939010668,0,1,0,6.591674
26,676,12,8,64,1,1,1,0.00176480869,0,1,0,6.214608
33,1089,18,9,81,1,1,1,-0.00101973353,0,1,0,6.336826
29,841,14,9,81,1,1,1,0.00336144092,0,1,0,6.410175
28,784,12,10,100,1,1,1,-5.93680781e-05,0,1,0,6.052089
29,841,12,11,121,1,1,1,0.00284631946,0,1,0,6.244167
28,784,9,13,169,1,1,0,0.997188352,0,1,0,5.416101
26,676,12,8,64,1,1,0,1.00119284,0,1,0,5.991465
24,576,11,7,49,1,1,0,0.996663468,0,1,0,6.033086
30,900,11,13,169,1,1,0,0.999460935,0,1,0,5.379897
31,961,16,9,81,1,1,0,0.99852011,1,1,0,6.795706
24,576,14,4,16,1,1,0,1.00158971,0,1,0,5.703783
34,1156,12,16,256,1,1,0,0.998571121,0,1,0,5.846439
29,841,14,9,81,1,1,0,1.00364567,0,1,0,6.489205
26,676,10,10,100,1,1,0,1.00084966,0,1,0,6.35437
32,1024,12,14,196,1,1,0,0.99939056,0,1,0,6.475433
32,1024,18,8,64,1,1,1,0.00472081113,0,1,1,6.850126
34,1156,18,10,100,1,1,1,0.00305511353,0,1,0,6.419995
32,1024,15,11,121,1,1,1,0.00344810872,0,0,0,6.58755
28,784,12,10,100,0,1,1,-0.00333660009,0,1,0,6.403574
32,1024,12,14,196,0,1,1,-4.50107964e-05,0,1,0,6.54103
34,1156,18,10,100,0,1,1,0.000100061793,0,0,0,7.244227
26,676,12,8,64,0,1,1,0.000449853502,0,1,0,5.703783
32,1024,18,8,64,0,1,1,0.00325677557,0,1,0,7.495542
25,625,12,7,49,0,1,1,-0.0080193818,0,1,0,6.023448
29,841,14,9,81,0,1,1,0.00187723912,0,0,0,6.448889
25,625,12,7,49,1,1,1,0.00225669653,0,1,0,5.337538
25,625,12,7,49,1,1,1,0.00198955576,1,1,0,6.124683
24,576,16,2,4,1,1,1,-0.00378190091,0,1,0,6.71417
34,1156,18,10,100,1,1,1,0.00163859722,0,1,0,6.357842
28,784,11,11,121,1,1,1,0.000103921807,0,1,0,5.541264
30,900,16,8,64,1,1,1,-0.0038592067,0,1,0,6.869014
31,961,10,15,225,1,1,1,-0.00204945257,0,1,0,6.850126
34,1156,18,10,100,1,1,1,0.0028248798,0,1,0,7.044033
27,729,6,15,225,1,1,1,-0.000916037015,0,1,0,5.780744
24,576,11,7,49,1,1,1,0.00159937288,1,1,0,5.459586
34,1156,12,16,256,1,1,1,0.00200847319,0,1,0,6.907755
26,676,9,11,121,1,1,1,-0.000581929057,0,1,0,6.175867
32,1024,15,11,121,1,1,1,0.00214509706,0,1,0,6.436151
34,1156,11,17,289,1,1,1,4.45633292e-05,0,1,0,6.476973
24,576,12,6,36,1,1,1,-0.000879723996,1,1,0,5.840641
24,576,16,2,4,1,1,1,-0.00106737541,0,1,1,5.940171
24,576,12,6,36,1,1,1,0.000215325138,0,1,0,5.866468
25,625,13,6,36,1,1,1,-0.000306254733,0,1,0,6.490724
28,784,17,5,25,1,1,1,-0.000507576608,0,1,0,6.431331
25,625,12,7,49,1,1,1,-0.000631253494,0,1,0,6.086775
26,676,12,8,64,1,1,1,-0.00511840955,1,1,0,6.603944
31,961,11,14,196,1,1,1,-0.00253528265,1,0,1,5.634789
24,576,10,8,64,1,1,1,-0.00140242006,0,1,0,6.073044
27,729,12,9,81,1,1,1,-0.00020193231,0,1,0,6.558198
27,729,12,9,81,1,1,1,0.00314694749,0,1,0,6.052089
24,576,12,6,36,1,1,1,-0.000481539457,0,1,0,6.347389
30,900,16,8,64,1,1,1,0.00156054464,0,1,0,6.287858
32,1024,16,10,100,1,1,1,-0.00457247536,0,1,0,6.60665
32,1024,13,13,169,1,1,1,-0.0031333711,0,1,0,6.511745
34,1156,12,16,256,1,1,1,0.00401540916,0,1,0,6.645091
